id,hour,temperature,humidity,pressure
1,20:32,6.62,88.94,1004.33
2,19:55,51.04,3.92,997.99
3,19:17,51.88,99.17,1008.12
4,17:39,38.15,72.81,893.79
5,16:04,38.77,93.65,917.83
6,15:19,57.18,19.53,1006.14
7,15:12,17.63,55.61,1003.37
8,12:48,19.09,9.06,908.76
9,12:37,22.25,44.43,993.69
10,20:38,30.75,40.82,894.6
11,10:01,29.2,28.46,904.84
12,13:44,28.3,11.4,966.71
13,18:28,23.41,81.85,987.44
14,21:30,24.32,66.25,977.02
15,22:57,6.31,24.81,877.7
16,18:51,19.49,60.53,901.09
17,22:41,10.18,82.07,951.73
18,17:43,34.76,7.43,879.99
19,18:59,7.67,87.32,970.2
20,13:50,12.28,33.44,993.35
21,17:21,1.75,83.8,1005.0
22,19:53,29.64,29.59,990.38
23,22:43,37.68,54.19,901.24
24,18:11,6.94,82.21,961.43
25,14:09,21.35,77.74,932.82
26,14:05,2.73,74.43,996.32
27,16:04,30.12,15.83,903.0
28,11:55,17.32,45.64,880.47
29,22:26,12.16,14.64,971.29
30,16:47,5.26,61.09,991.78
31,13:33,47.56,90.65,951.37
32,16:23,38.39,12.15,913.87
33,18:50,25.91,35.96,989.19
34,22:35,53.5,72.59,970.07
35,11:55,37.0,43.33,980.98
36,20:31,34.69,60.42,916.7
37,19:01,45.81,12.92,938.5
38,12:04,58.17,73.43,986.29
39,15:43,15.53,13.16,913.47
40,12:23,49.38,9.16,989.05
41,11:25,0.62,11.52,956.48
42,22:18,21.81,29.62,911.63
43,22:50,52.59,60.38,974.73
44,17:16,43.81,34.37,887.61
45,17:06,13.99,64.29,967.38
46,17:00,43.35,10.35,888.42
47,15:12,46.74,81.18,878.17
48,16:25,42.76,66.21,932.52
49,21:40,57.38,97.98,984.17
50,17:20,52.18,71.68,931.47
51,11:38,3.35,77.4,891.01
52,15:54,23.92,18.8,986.33
53,15:11,13.34,27.88,871.03
54,14:30,1.71,43.45,969.32
55,19:13,33.5,1.08,904.36
56,19:26,53.35,57.82,1001.6
57,13:05,3.85,31.07,876.62
58,13:55,35.29,77.21,878.24
59,20:09,46.76,89.92,975.5
60,21:15,3.42,33.14,908.21
61,10:45,46.13,47.25,943.64
62,13:09,46.96,12.25,933.49
63,18:50,41.05,54.53,945.9
64,16:31,32.32,77.16,910.79
65,19:07,24.41,28.99,945.89
66,12:03,23.23,86.63,948.36
67,18:49,45.23,29.54,1005.77
68,14:31,33.14,86.82,973.49
69,12:13,47.28,65.66,931.56
70,18:31,33.36,97.89,986.03
71,11:24,48.16,98.8,908.71
72,14:09,0.35,99.76,940.26
73,18:12,22.24,47.44,955.82
74,20:16,22.28,30.43,882.44
75,10:22,45.67,90.63,924.79
76,22:20,27.49,98.07,967.53
77,12:51,20.44,90.45,973.36
78,22:23,40.69,39.61,916.36
79,10:28,21.5,81.72,908.87
80,18:52,51.69,12.9,915.04
81,16:35,37.45,43.59,943.9
82,15:14,13.21,12.22,1000.65
83,22:43,6.18,21.22,952.32
84,20:28,23.39,14.84,962.65
85,18:27,17.06,10.81,928.09
86,12:51,58.56,66.14,982.91
87,19:04,18.03,3.27,908.71
88,18:43,56.43,32.65,959.14
89,20:32,24.8,4.58,920.46
90,10:38,21.1,46.41,940.76
91,10:03,5.76,6.7,920.78
92,13:35,56.19,39.56,955.18
93,22:18,33.25,55.81,963.87
94,21:41,57.33,40.14,1000.5
95,16:36,7.8,22.12,898.49
96,20:57,0.11,38.25,951.82
97,22:45,43.93,81.17,928.78
98,17:25,35.51,52.15,978.34
99,18:10,18.14,8.21,878.04
100,12:33,54.69,78.59,878.94
101,13:51,21.9,96.65,908.74
102,20:34,34.25,65.11,1011.54
103,18:05,13.68,43.59,965.21
104,12:41,28.68,69.53,902.0
105,13:42,37.73,49.25,947.96
106,19:55,38.78,93.88,916.57
107,17:29,12.8,85.88,917.3
108,11:57,46.12,15.06,985.13
109,10:46,48.29,47.81,994.96
110,18:42,0.09,4.67,888.43
111,13:10,59.39,15.0,984.84
112,11:58,40.06,41.79,990.42
113,17:15,14.63,85.32,1011.79
114,20:17,39.89,30.71,964.34
115,10:17,36.45,37.13,979.68
116,12:42,13.01,94.88,908.45
117,19:40,39.89,8.77,991.71
118,21:55,44.24,48.95,954.28
119,11:49,9.19,68.84,935.26
120,16:22,28.02,97.37,877.8
121,18:18,17.18,20.18,970.68
122,10:07,26.58,88.38,924.8
123,14:46,22.39,97.24,1000.02
124,12:35,12.38,30.23,913.48
125,20:23,56.15,32.37,989.43
126,15:11,41.46,56.78,1005.66
127,20:19,51.91,61.16,901.25
128,12:53,6.24,53.56,965.75
129,19:40,55.36,64.57,931.63
130,10:22,57.19,77.47,901.06
131,12:57,47.66,33.59,955.63
132,18:10,6.17,0.99,875.16
133,19:53,33.65,72.52,966.37
134,13:13,46.39,85.6,882.78
135,17:26,22.68,97.76,959.64
136,11:10,19.44,24.46,967.91
137,16:53,49.97,64.01,880.73
138,10:07,38.36,56.52,932.79
139,19:25,32.66,16.37,934.98
140,13:29,54.55,44.2,994.3
141,17:52,47.51,28.09,981.14
142,17:12,23.16,7.89,948.09
143,15:10,9.71,4.44,887.8
144,11:45,23.49,21.3,905.63
145,21:25,1.19,28.36,969.27
146,17:38,4.67,50.11,906.55
147,15:19,51.12,92.54,946.27
148,15:08,56.28,67.91,983.75
149,22:43,41.23,2.46,983.11
150,21:39,13.7,61.34,876.78
151,13:16,31.14,90.84,890.8
152,11:35,31.33,32.59,1006.75
153,14:03,10.85,31.13,987.39
154,15:06,41.71,52.15,915.48
155,17:12,53.75,12.69,985.95
156,11:28,10.93,74.21,916.08
157,15:49,16.81,30.72,960.73
158,13:49,51.59,54.18,980.09
159,15:21,7.17,95.79,983.64
160,15:50,36.27,65.35,951.3
161,16:31,5.36,27.96,931.61
162,22:18,33.98,96.67,872.54
163,11:09,33.49,39.5,907.49
164,16:47,19.34,93.79,881.62
165,12:12,45.52,61.25,949.83
166,16:52,41.75,62.48,969.93
167,16:43,9.47,71.74,876.56
168,14:12,56.63,83.59,942.23
169,17:38,26.3,1.67,974.38
170,13:19,4.0,57.75,982.03
171,17:10,2.83,62.69,990.48
172,13:22,6.56,13.29,941.57
173,10:38,38.01,16.16,957.37
174,14:21,40.2,45.41,977.7
175,16:18,25.15,82.1,965.41
176,14:39,46.12,79.52,954.13
177,14:26,23.12,19.43,949.53
178,19:58,29.88,44.92,1005.92
179,19:27,2.29,50.88,876.55
180,22:22,3.6,88.27,962.16
181,20:40,33.55,39.41,957.93
182,19:12,50.57,89.93,953.11
183,13:38,57.34,20.72,951.55
184,17:51,33.82,87.32,902.13
185,21:40,22.75,97.75,964.83
186,15:25,34.28,30.77,995.37
187,18:31,2.31,41.53,946.13
188,19:41,13.51,13.47,906.29
189,16:15,35.63,44.96,993.32
190,15:17,5.68,32.82,999.66
191,10:46,29.11,42.88,959.4
192,13:38,16.1,97.59,921.74
193,19:28,50.69,76.46,958.5
194,14:43,41.43,88.25,1010.63
195,15:40,27.64,37.23,969.96
196,22:56,53.2,91.03,988.19
197,14:35,6.08,16.58,1005.16
198,19:04,19.58,8.46,904.46
199,12:15,15.47,73.15,928.2
200,11:18,39.52,26.49,935.78
201,19:24,55.36,8.76,956.06
202,12:04,4.42,68.09,876.18
203,21:49,11.28,4.05,1009.36
204,14:35,53.42,62.17,980.42
205,15:35,28.42,83.35,914.95
206,15:57,52.68,61.05,880.48
207,22:49,24.13,76.67,986.12
208,11:49,51.87,95.95,935.28
209,21:55,49.9,97.24,930.92
210,19:49,49.92,82.26,872.27
211,20:56,45.54,2.01,975.09
212,13:44,38.24,37.77,904.66
213,12:37,51.51,80.95,966.17
214,12:46,37.99,17.63,888.49
215,12:30,49.11,81.85,881.66
216,12:31,56.26,52.47,939.92
217,13:34,34.83,42.41,994.84
218,19:06,51.68,8.5,883.25
219,19:06,58.62,59.92,898.42
220,17:35,32.64,0.47,1009.18
221,18:36,45.4,2.52,996.26
222,19:41,23.75,37.18,882.35
223,15:55,33.0,98.54,955.56
224,11:54,41.04,68.61,877.11
225,10:58,36.3,42.17,973.28
226,12:53,11.58,44.22,972.19
227,14:06,50.2,83.39,882.47
228,22:13,0.7,76.24,877.18
229,19:32,33.41,60.03,917.49
230,15:19,29.28,16.51,1007.66
231,20:48,37.62,86.13,937.86
232,19:04,42.39,92.89,899.43
233,22:49,35.63,62.19,1010.36
234,21:12,36.3,43.88,984.22
235,22:02,28.99,4.14,1011.48
236,10:42,2.79,13.92,870.44
237,19:54,17.92,12.34,927.76
238,20:18,55.26,17.77,902.22
239,17:17,57.29,51.14,953.46
240,16:44,2.49,38.83,960.79
241,10:20,39.16,62.22,914.72
242,18:28,25.46,75.96,943.39
243,10:13,10.58,27.93,929.14
244,17:28,17.32,23.94,940.12
245,16:09,23.53,44.11,980.03
246,10:24,54.63,82.65,1000.46
247,10:53,55.69,60.69,916.68
248,17:01,53.5,48.46,938.49
249,17:56,24.69,77.37,890.14
250,15:04,11.4,87.14,970.11
251,11:35,45.29,26.85,951.5
252,15:16,14.8,11.38,922.79
253,14:02,23.29,31.44,880.81
254,22:16,27.63,39.82,948.81
255,13:59,56.91,92.52,923.83
256,19:35,4.2,49.84,884.69
257,22:08,26.62,19.35,981.36
258,17:15,59.37,95.71,940.97
259,19:46,31.75,38.79,871.67
260,19:44,23.32,21.59,951.66
261,12:53,23.65,90.64,901.69
262,14:19,54.0,79.29,891.71
263,17:12,19.29,92.66,944.32
264,10:29,19.1,93.52,1006.69
265,16:39,47.54,76.95,1007.01
266,16:23,23.78,34.27,1007.04
267,12:26,47.98,77.26,874.83
268,22:39,58.89,34.41,944.41
269,16:10,15.39,57.79,994.13
270,12:57,47.98,66.43,920.64
271,19:17,23.89,98.95,909.98
272,17:19,17.83,58.54,877.08
273,14:18,3.16,89.7,877.1
274,16:27,40.32,25.31,908.7
275,18:45,6.14,32.57,938.69
276,14:43,23.78,60.82,936.3
277,16:54,29.37,32.07,998.36
278,12:09,8.13,14.96,983.8
279,13:25,58.26,90.75,960.84
280,14:23,7.34,67.66,904.07
281,16:46,23.15,89.89,885.25
282,21:53,29.36,77.17,979.19
283,20:06,33.51,94.73,984.59
284,18:42,29.62,33.38,896.71
285,20:03,42.55,14.3,873.28
286,10:03,33.18,17.53,965.39
287,20:40,14.19,68.32,899.67
288,15:30,31.45,90.15,975.74
289,16:00,48.85,99.79,1004.65
290,15:19,45.27,3.74,1007.0
291,18:29,5.95,29.84,921.44
292,16:00,12.94,39.86,947.39
293,16:23,1.25,70.34,894.26
294,11:37,43.94,23.3,917.13
295,14:37,22.8,6.73,934.71
296,11:41,17.07,54.42,995.22
297,11:11,21.35,71.16,940.26
298,19:27,46.5,74.8,890.68
299,21:13,46.61,91.96,993.06
300,19:58,52.25,14.2,912.51
301,13:42,43.13,67.61,885.94
302,16:13,32.57,3.36,939.84
303,18:19,50.44,73.74,894.31
304,22:44,7.33,16.71,952.69
305,21:34,38.34,33.65,927.92
306,19:09,37.29,50.45,930.66
307,11:20,43.0,90.99,941.98
308,12:39,55.32,61.89,988.08
309,18:54,50.7,65.27,928.79
310,19:24,49.75,25.83,978.39
311,17:05,43.6,52.33,952.94
312,14:11,21.2,56.67,951.42
313,19:48,44.77,17.39,955.43
314,12:10,5.77,34.91,956.08
315,21:21,51.67,44.41,934.09
316,22:42,2.04,16.9,918.25
317,20:18,46.38,27.17,885.14
318,18:55,47.47,17.33,1006.09
319,11:13,45.32,99.61,907.87
320,10:24,17.65,56.5,905.03
321,17:50,8.45,93.12,945.08
322,22:59,42.59,64.08,995.52
323,22:42,10.57,8.2,917.04
324,16:19,42.44,19.04,892.49
325,13:31,58.88,42.9,878.64
326,19:05,58.93,21.33,938.72
327,11:33,59.75,86.35,919.64
328,15:58,22.69,34.01,875.83
329,15:06,19.83,2.24,871.53
330,17:52,8.12,26.25,1003.7
331,10:53,38.18,53.31,1002.05
332,14:49,50.68,29.31,982.22
333,17:14,34.12,79.42,1004.03
334,21:31,52.0,82.74,942.04
335,17:36,11.67,20.98,895.28
336,18:45,32.22,62.95,885.6
337,16:50,41.09,93.37,938.07
338,17:32,38.09,60.44,970.42
339,15:25,50.25,85.14,916.61
340,18:03,29.16,32.05,938.43
341,12:17,19.44,85.5,1010.94
342,22:37,35.32,40.97,1000.09
343,17:11,2.41,51.86,1011.6
344,16:34,24.41,38.06,914.87
345,10:01,58.03,70.02,892.43
346,19:48,28.91,41.32,993.14
347,18:30,42.42,94.55,911.83
348,17:40,56.74,69.35,912.72
349,21:13,0.79,66.9,992.86
350,15:28,7.82,68.41,954.29
351,13:43,54.33,4.48,977.54
352,19:13,2.57,47.19,956.35
353,17:17,39.7,28.02,994.93
354,10:03,21.36,60.66,961.16
355,16:09,48.82,17.44,905.82
356,20:52,47.59,58.89,884.92
357,21:59,35.41,14.83,947.51
358,15:50,37.8,82.63,963.14
359,10:04,6.95,61.2,878.01
360,19:21,43.19,80.99,956.12
361,10:57,3.77,13.41,943.65
362,16:43,41.55,0.14,878.56
363,14:33,9.13,24.17,935.15
364,10:34,33.23,60.65,898.04
365,16:33,31.87,1.02,948.78
366,22:53,10.41,65.06,945.15
367,21:49,30.78,12.92,999.78
368,12:56,56.81,62.46,983.93
369,15:58,52.59,49.29,1000.55
370,22:59,49.38,24.24,941.16
371,10:12,23.02,2.45,1006.27
372,17:17,18.72,33.1,963.79
373,16:18,20.3,84.3,940.59
374,20:22,15.68,16.81,905.57
375,14:54,30.63,42.02,947.81
376,16:42,15.34,42.91,1005.81
377,20:33,47.2,19.78,904.26
378,17:54,35.66,43.38,879.02
379,14:55,30.73,60.08,932.88
380,10:32,11.3,66.93,901.17
381,22:25,55.13,25.82,971.63
382,20:23,12.37,88.39,929.38
383,15:25,52.68,26.72,962.29
384,14:20,34.27,37.3,934.87
385,11:58,22.51,53.97,913.23
386,17:31,37.52,46.59,980.6
387,21:15,39.19,22.29,919.42
388,22:19,5.89,32.61,900.02
389,10:55,51.22,62.04,889.8
390,18:42,56.08,32.48,925.6
391,20:29,58.36,90.62,999.69
392,13:45,5.62,53.68,934.82
393,16:05,24.0,38.37,929.05
394,20:24,58.63,73.57,918.74
395,20:49,22.0,56.06,1004.01
396,20:27,40.23,54.94,992.79
397,10:14,24.84,79.46,948.44
398,17:36,7.27,29.97,1011.24
399,11:17,5.4,58.61,982.22
400,12:25,31.79,90.65,964.47
401,17:24,35.55,79.56,904.02
402,15:19,16.25,12.89,875.31
403,16:24,36.49,97.31,957.48
404,22:51,28.45,46.78,885.3
405,18:14,11.75,55.35,903.69
406,10:43,39.29,60.31,907.81
407,21:32,28.66,20.08,1005.29
408,19:00,53.78,49.03,882.69
409,21:54,35.1,29.15,943.46
410,13:07,46.98,3.5,961.62
411,15:27,49.53,59.09,897.47
412,14:31,38.14,13.72,905.01
413,21:55,31.28,8.14,989.27
414,18:44,16.3,90.76,904.4
415,16:22,10.11,53.14,903.6
416,22:17,11.11,94.49,963.97
417,11:54,21.32,69.44,903.82
418,21:53,14.84,98.96,985.11
419,21:19,7.29,3.04,956.88
420,13:42,2.21,65.89,986.14
421,13:14,50.19,34.53,939.74
422,21:16,46.28,54.8,975.34
423,18:49,35.87,14.57,941.9
424,22:24,22.94,67.5,978.35
425,16:34,20.66,41.43,880.07
426,17:50,21.01,19.41,890.91
427,22:02,31.96,33.4,982.49
428,22:39,13.61,11.59,904.26
429,13:39,0.9,43.8,902.08
430,19:58,29.24,8.16,1001.21
431,11:28,51.51,66.5,883.04
432,22:10,46.74,36.44,926.83
433,22:44,46.9,0.09,885.98
434,15:55,49.73,66.65,954.31
435,16:08,17.88,20.36,891.08
436,10:44,19.82,8.87,1008.38
437,16:10,28.91,49.38,907.2
438,18:39,21.92,72.98,976.91
439,17:58,7.89,41.86,981.2
440,14:07,45.91,12.19,928.26
441,16:15,30.68,62.85,976.14
442,20:04,55.81,48.26,911.53
443,10:03,56.8,13.61,993.46
444,15:34,15.05,74.97,916.24
445,13:35,13.46,46.99,986.49
446,21:22,13.78,89.58,932.2
447,22:40,31.5,85.39,896.43
448,10:20,21.0,64.73,958.83
449,12:13,25.62,68.41,953.66
450,16:41,56.68,38.0,935.29
451,12:49,53.05,65.58,968.99
452,10:21,15.64,27.18,886.01
453,13:58,28.39,28.79,897.25
454,19:42,17.87,57.29,908.3
455,13:52,10.72,39.34,919.55
456,16:33,46.1,38.7,969.06
457,18:40,4.76,72.27,934.67
458,14:18,16.35,35.47,896.32
459,19:44,29.58,46.61,931.01
460,16:22,50.52,69.86,915.92
461,20:24,47.64,39.97,908.35
462,17:25,28.63,76.56,968.19
463,10:39,57.4,84.64,943.35
464,10:33,41.97,79.25,962.06
465,17:42,42.86,68.44,964.58
466,18:04,38.61,9.68,892.72
467,11:31,33.22,52.07,924.95
468,17:44,36.13,26.44,908.18
469,11:00,2.68,37.14,1001.37
470,13:57,18.27,99.73,986.55
471,14:10,4.77,15.01,904.47
472,12:35,42.1,15.29,989.82
473,11:28,43.03,67.99,986.77
474,18:07,22.88,48.34,926.7
475,16:58,19.51,47.82,980.19
476,21:39,49.34,38.02,896.46
477,15:34,45.5,9.57,979.31
478,12:49,42.86,50.06,874.55
479,14:00,21.88,75.07,907.93
480,12:57,11.74,84.55,950.95
481,14:40,2.95,78.72,933.04
482,22:54,33.41,31.3,927.87
483,17:23,59.92,82.48,1005.57
484,19:48,57.4,46.67,939.29
485,17:14,15.3,60.99,930.62
486,18:58,38.64,92.8,910.46
487,20:37,59.63,50.18,1010.89
488,12:21,7.87,63.38,935.5
489,17:41,36.22,45.31,989.79
490,20:04,7.12,24.39,973.19
491,19:53,12.31,20.04,996.63
492,15:56,29.23,94.1,924.23
493,13:05,45.3,18.65,971.73
494,18:54,51.28,60.57,891.87
495,17:30,27.14,65.39,981.8
496,20:29,43.27,84.91,874.37
497,21:52,55.42,12.75,920.47
498,14:47,33.97,17.2,898.24
499,17:24,34.04,46.74,970.3
500,21:56,7.5,42.34,912.32
501,21:02,57.57,7.45,871.58
502,18:38,30.11,81.96,995.43
503,18:52,56.09,10.95,887.59
504,17:18,19.8,57.45,1002.58
505,22:28,46.24,45.61,900.77
506,22:30,0.77,71.91,943.0
507,17:59,42.58,68.42,912.31
508,18:13,9.44,47.48,984.38
509,21:03,14.0,75.49,896.47
510,10:02,53.5,1.61,872.02
511,19:28,23.14,94.1,971.51
512,10:53,51.54,81.18,980.92
513,22:49,7.62,81.91,930.9
514,13:49,39.79,26.35,906.85
515,17:53,37.89,8.34,888.34
516,21:59,13.15,78.91,872.68
517,15:33,3.74,62.3,941.43
518,14:03,33.64,86.92,977.67
519,11:03,45.91,78.84,915.62
520,18:50,18.8,79.82,980.98
521,17:58,33.85,55.94,984.3
522,11:03,51.37,41.91,882.41
523,19:05,11.85,46.18,871.64
524,16:09,37.16,55.0,938.4
525,15:48,58.52,49.16,913.12
526,10:56,46.04,48.73,1002.1
527,15:58,41.46,23.98,955.26
528,15:16,24.22,35.95,879.56
529,14:40,9.21,66.52,997.69
530,11:49,43.31,64.85,937.97
531,18:06,58.38,44.2,996.94
532,11:04,30.05,52.01,957.35
533,14:52,35.75,39.16,959.02
534,17:37,55.85,83.12,986.83
535,20:59,23.23,70.0,943.15
536,19:28,42.59,57.84,872.83
537,13:10,0.47,65.97,889.03
538,21:51,5.17,90.24,1006.13
539,22:29,41.17,12.44,989.92
540,11:46,29.24,26.95,962.78
541,14:47,35.68,10.94,983.52
542,18:40,34.41,30.23,961.65
543,18:38,34.3,40.76,949.32
544,12:38,21.03,22.71,912.59
545,10:21,59.08,68.28,983.38
546,11:53,33.29,65.15,962.11
547,21:15,28.89,43.71,931.36
548,10:58,48.84,19.53,973.75
549,11:06,26.6,84.9,894.12
550,22:43,38.2,43.42,950.89
551,12:02,2.79,77.47,989.47
552,21:11,57.32,31.23,920.71
553,14:59,52.52,2.1,1010.17
554,21:41,11.24,32.21,881.35
555,18:35,47.53,92.62,995.85
556,19:54,26.9,9.79,991.85
557,17:51,13.26,35.2,888.26
558,15:21,31.55,62.38,1006.04
559,11:38,55.09,16.48,914.94
560,19:09,21.63,8.69,874.17
561,18:27,54.88,15.19,889.25
562,20:54,32.99,87.97,935.73
563,20:28,40.98,3.57,912.85
564,19:08,57.58,82.46,1004.21
565,14:08,55.89,4.71,905.78
566,18:18,50.89,40.77,945.53
567,11:01,11.31,59.14,888.55
568,15:58,21.61,7.65,1001.34
569,20:40,46.9,96.96,1011.18
570,14:52,3.57,73.72,913.36
571,16:10,34.03,72.08,959.2
